"Step","baseline_iwslt14 - train_inner/gnorm","baseline_iwslt14 - train_inner/gnorm__MIN","baseline_iwslt14 - train_inner/gnorm__MAX"
"100","0.599","0.599","0.599"
"200","0.788","0.788","0.788"
"300","0.83","0.83","0.83"
"400","0.681","0.681","0.681"
"500","0.642","0.642","0.642"
"600","0.515","0.515","0.515"
"700","0.46","0.46","0.46"
"800","0.486","0.486","0.486"
"900","0.483","0.483","0.483"
"1000","0.487","0.487","0.487"
"1100","0.475","0.475","0.475"
"1200","0.501","0.501","0.501"
"1300","0.461","0.461","0.461"
"1400","0.443","0.443","0.443"
"1500","0.444","0.444","0.444"
"1600","0.424","0.424","0.424"
"1700","0.397","0.397","0.397"
"1800","0.403","0.403","0.403"
"1900","0.381","0.381","0.381"
"2000","0.378","0.378","0.378"
"2100","0.369","0.369","0.369"
"2200","0.361","0.361","0.361"
"2300","0.354","0.354","0.354"
"2400","0.333","0.333","0.333"
"2500","0.361","0.361","0.361"
"2600","0.336","0.336","0.336"
"2700","0.329","0.329","0.329"
"2800","0.338","0.338","0.338"
"2900","0.331","0.331","0.331"
"3000","0.329","0.329","0.329"
"3100","0.319","0.319","0.319"
"3200","0.326","0.326","0.326"
"3300","0.317","0.317","0.317"
"3400","0.306","0.306","0.306"
"3500","0.32","0.32","0.32"
"3600","0.315","0.315","0.315"
"3700","0.312","0.312","0.312"
"3800","0.308","0.308","0.308"
"3900","0.314","0.314","0.314"
"4000","0.304","0.304","0.304"
"4100","0.31","0.31","0.31"
"4200","0.299","0.299","0.299"
"4300","0.317","0.317","0.317"
"4400","0.303","0.303","0.303"
"4500","0.309","0.309","0.309"
"4600","0.295","0.295","0.295"
"4700","0.29","0.29","0.29"
"4800","0.295","0.295","0.295"
"4900","0.288","0.288","0.288"
"5000","0.291","0.291","0.291"
"5100","0.303","0.303","0.303"
"5200","0.318","0.318","0.318"
"5300","0.295","0.295","0.295"
"5400","0.287","0.287","0.287"
"5500","0.28","0.28","0.28"
"5600","0.283","0.283","0.283"
"5700","0.299","0.299","0.299"
"5800","0.295","0.295","0.295"
"5900","0.296","0.296","0.296"
"6000","0.288","0.288","0.288"
"6100","0.27","0.27","0.27"
"6200","0.269","0.269","0.269"
"6300","0.29","0.29","0.29"
"6400","0.293","0.293","0.293"
"6500","0.287","0.287","0.287"
"6600","0.286","0.286","0.286"
"6700","0.279","0.279","0.279"
"6800","0.301","0.301","0.301"
"6900","0.299","0.299","0.299"
"7000","0.278","0.278","0.278"
"7100","0.267","0.267","0.267"
"7200","0.292","0.292","0.292"
"7300","0.287","0.287","0.287"
"7400","0.282","0.282","0.282"
"7500","0.298","0.298","0.298"
"7600","0.288","0.288","0.288"
"7700","0.309","0.309","0.309"
"7800","0.279","0.279","0.279"
"7900","0.28","0.28","0.28"
"8000","0.274","0.274","0.274"
"8100","0.293","0.293","0.293"
"8200","0.298","0.298","0.298"
"8300","0.306","0.306","0.306"
"8400","0.304","0.304","0.304"
"8500","0.276","0.276","0.276"
"8600","0.283","0.283","0.283"
"8700","0.273","0.273","0.273"
"8800","0.282","0.282","0.282"
"8900","0.273","0.273","0.273"
"9000","0.291","0.291","0.291"
"9100","0.287","0.287","0.287"
"9200","0.292","0.292","0.292"
"9300","0.29","0.29","0.29"
"9400","0.284","0.284","0.284"
"9500","0.284","0.284","0.284"
"9600","0.297","0.297","0.297"
"9700","0.28","0.28","0.28"
"9800","0.289","0.289","0.289"
"9900","0.283","0.283","0.283"
"10000","0.275","0.275","0.275"
"10100","0.294","0.294","0.294"
"10200","0.291","0.291","0.291"
"10300","0.294","0.294","0.294"
"10400","0.275","0.275","0.275"
"10500","0.294","0.294","0.294"
"10600","0.297","0.297","0.297"
"10700","0.281","0.281","0.281"
"10800","0.282","0.282","0.282"
"10900","0.289","0.289","0.289"
"11000","0.295","0.295","0.295"
"11100","0.298","0.298","0.298"
"11200","0.272","0.272","0.272"
"11300","0.303","0.303","0.303"
"11400","0.284","0.284","0.284"
"11500","0.289","0.289","0.289"
"11600","0.285","0.285","0.285"
"11700","0.294","0.294","0.294"
"11800","0.288","0.288","0.288"
"11900","0.282","0.282","0.282"
"12000","0.297","0.297","0.297"
"12100","0.32","0.32","0.32"
"12200","0.281","0.281","0.281"
"12300","0.279","0.279","0.279"
"12400","0.285","0.285","0.285"
"12500","0.281","0.281","0.281"
"12600","0.294","0.294","0.294"
"12700","0.297","0.297","0.297"
"12800","0.3","0.3","0.3"
"12900","0.291","0.291","0.291"
"13000","0.292","0.292","0.292"
"13100","0.298","0.298","0.298"
"13200","0.311","0.311","0.311"
"13300","0.282","0.282","0.282"
"13400","0.297","0.297","0.297"
"13500","0.293","0.293","0.293"
"13600","0.293","0.293","0.293"
"13700","0.293","0.293","0.293"
"13800","0.293","0.293","0.293"
"13900","0.299","0.299","0.299"
"14000","0.295","0.295","0.295"
"14100","0.284","0.284","0.284"
"14200","0.296","0.296","0.296"
"14300","0.327","0.327","0.327"
"14400","0.283","0.283","0.283"
"14500","0.299","0.299","0.299"
"14600","0.308","0.308","0.308"
"14700","0.323","0.323","0.323"
"14800","0.286","0.286","0.286"
"14900","0.292","0.292","0.292"
"15000","0.297","0.297","0.297"
"15100","0.307","0.307","0.307"
"15200","0.294","0.294","0.294"
"15300","0.29","0.29","0.29"
"15400","0.313","0.313","0.313"
"15500","0.284","0.284","0.284"
"15600","0.295","0.295","0.295"
"15700","0.292","0.292","0.292"
"15800","0.291","0.291","0.291"
"15900","0.307","0.307","0.307"
"16000","0.314","0.314","0.314"
"16100","0.285","0.285","0.285"
"16200","0.291","0.291","0.291"
"16300","0.291","0.291","0.291"
"16400","0.301","0.301","0.301"
"16500","0.292","0.292","0.292"
"16600","0.295","0.295","0.295"
"16700","0.293","0.293","0.293"
"16800","0.306","0.306","0.306"
"16900","0.297","0.297","0.297"
"17000","0.304","0.304","0.304"
"17100","0.298","0.298","0.298"
"17200","0.296","0.296","0.296"
"17300","0.289","0.289","0.289"
"17400","0.298","0.298","0.298"
"17500","0.342","0.342","0.342"
"17600","0.294","0.294","0.294"
"17700","0.281","0.281","0.281"
"17800","0.311","0.311","0.311"
"17900","0.312","0.312","0.312"
"18000","0.303","0.303","0.303"
"18100","0.297","0.297","0.297"
"18200","0.314","0.314","0.314"
"18300","0.308","0.308","0.308"
"18400","0.291","0.291","0.291"
"18500","0.331","0.331","0.331"
"18600","0.305","0.305","0.305"
"18700","0.293","0.293","0.293"
"18800","0.287","0.287","0.287"
"18900","0.291","0.291","0.291"
"19000","0.311","0.311","0.311"
"19100","0.289","0.289","0.289"
"19200","0.298","0.298","0.298"
