"Step","roberta_full_gnorms_fix - sched/gnorm_l1","roberta_full_gnorms_fix - sched/gnorm_l1__MIN","roberta_full_gnorms_fix - sched/gnorm_l1__MAX"
"0","15839.229855772155","15839.229855772155","15839.229855772155"
"1","15671.675071284244","15671.675071284244","15671.675071284244"
"2","15782.129957028716","15782.129957028716","15782.129957028716"
"3","15664.507546201372","15664.507546201372","15664.507546201372"
"4","15815.649017931946","15815.649017931946","15815.649017931946"
"5","15844.7506888705","15844.7506888705","15844.7506888705"
"6","15706.052890139705","15706.052890139705","15706.052890139705"
"7","15886.03822890114","15886.03822890114","15886.03822890114"
"8","15616.969444036562","15616.969444036562","15616.969444036562"
"9","15699.739236448024","15699.739236448024","15699.739236448024"
"10","15730.318537410396","15730.318537410396","15730.318537410396"
"11","15681.710312213803","15681.710312213803","15681.710312213803"
"12","15421.989076467284","15421.989076467284","15421.989076467284"
"13","15414.928846702956","15414.928846702956","15414.928846702956"
"14","15304.932126775411","15304.932126775411","15304.932126775411"
"15","15229.75974253657","15229.75974253657","15229.75974253657"
"16","15055.791735211384","15055.791735211384","15055.791735211384"
"17","14858.516900928726","14858.516900928726","14858.516900928726"
"18","14565.710055619496","14565.710055619496","14565.710055619496"
"19","14271.95311356893","14271.95311356893","14271.95311356893"
"20","13913.101262323558","13913.101262323558","13913.101262323558"
"21","13566.27707476161","13566.27707476161","13566.27707476161"
"22","13153.204312345892","13153.204312345892","13153.204312345892"
"23","12675.129118213335","12675.129118213335","12675.129118213335"
"24","12222.282839702346","12222.282839702346","12222.282839702346"
"25","11879.472471515486","11879.472471515486","11879.472471515486"
"26","11445.428982095627","11445.428982095627","11445.428982095627"
"27","10998.809051111128","10998.809051111128","10998.809051111128"
"28","10656.980238863023","10656.980238863023","10656.980238863023"
"29","10248.291950854717","10248.291950854717","10248.291950854717"
"30","9828.679077575143","9828.679077575143","9828.679077575143"
"31","9567.47245145702","9567.47245145702","9567.47245145702"
"32","9241.147926986345","9241.147926986345","9241.147926986345"
"33","8909.234317899314","8909.234317899314","8909.234317899314"
"34","8590.371748215113","8590.371748215113","8590.371748215113"
"35","8286.068117072924","8286.068117072924","8286.068117072924"
"36","8060.196714227178","8060.196714227178","8060.196714227178"
"37","7664.076232898531","7664.076232898531","7664.076232898531"
"38","7532.023353847269","7532.023353847269","7532.023353847269"
"39","7126.825811789569","7126.825811789569","7126.825811789569"
"40","6946.851292772749","6946.851292772749","6946.851292772749"
"41","6667.328764465901","6667.328764465901","6667.328764465901"
"42","6488.613287009705","6488.613287009705","6488.613287009705"
"43","6175.1013588250435","6175.1013588250435","6175.1013588250435"
"44","5967.4397116915925","5967.4397116915925","5967.4397116915925"
"45","5854.51710149708","5854.51710149708","5854.51710149708"
"46","5636.420872394196","5636.420872394196","5636.420872394196"
"47","5412.893693857564","5412.893693857564","5412.893693857564"
"48","5329.3779651557925","5329.3779651557925","5329.3779651557925"
"49","5068.520750769383","5068.520750769383","5068.520750769383"
"50","4911.883567429993","4911.883567429993","4911.883567429993"
"51","4776.866350395569","4776.866350395569","4776.866350395569"
"52","4654.270135920135","4654.270135920135","4654.270135920135"
"53","4503.714434886134","4503.714434886134","4503.714434886134"
"54","4358.848538140344","4358.848538140344","4358.848538140344"
"55","4239.093033905023","4239.093033905023","4239.093033905023"
"56","4085.470598928279","4085.470598928279","4085.470598928279"
"57","4024.452005160804","4024.452005160804","4024.452005160804"
"58","3928.664621496592","3928.664621496592","3928.664621496592"
"59","3836.1007227172527","3836.1007227172527","3836.1007227172527"
"60","3756.096413585691","3756.096413585691","3756.096413585691"
"61","3688.0238814388367","3688.0238814388367","3688.0238814388367"
"62","3640.2282762600407","3640.2282762600407","3640.2282762600407"
"63","3511.521426059376","3511.521426059376","3511.521426059376"
"64","3456.6541548080836","3456.6541548080836","3456.6541548080836"
"65","3401.493580947662","3401.493580947662","3401.493580947662"
"66","3289.788361593881","3289.788361593881","3289.788361593881"
"67","3228.3857864546344","3228.3857864546344","3228.3857864546344"
"68","3163.745272773894","3163.745272773894","3163.745272773894"
"69","3063.7151537048876","3063.7151537048876","3063.7151537048876"
"70","3036.051591518852","3036.051591518852","3036.051591518852"
"71","2963.105426337815","2963.105426337815","2963.105426337815"
"72","2863.496849215715","2863.496849215715","2863.496849215715"
"73","2799.0787018431665","2799.0787018431665","2799.0787018431665"
"74","2767.730545544977","2767.730545544977","2767.730545544977"
"75","2728.0940110808197","2728.0940110808197","2728.0940110808197"
"76","2684.555633467311","2684.555633467311","2684.555633467311"
"77","2627.4659574866337","2627.4659574866337","2627.4659574866337"
"78","2549.3615077131326","2549.3615077131326","2549.3615077131326"
"79","2508.3839410691467","2508.3839410691467","2508.3839410691467"
"80","2451.277664748084","2451.277664748084","2451.277664748084"
"81","2408.7112872273424","2408.7112872273424","2408.7112872273424"
"82","2387.360555947125","2387.360555947125","2387.360555947125"
"83","2342.5038181121895","2342.5038181121895","2342.5038181121895"
"84","2292.188565761688","2292.188565761688","2292.188565761688"
"85","2270.8019837041547","2270.8019837041547","2270.8019837041547"
"86","2213.7356101488926","2213.7356101488926","2213.7356101488926"
"87","2187.533209288012","2187.533209288012","2187.533209288012"
"88","2135.6036495945164","2135.6036495945164","2135.6036495945164"
"89","2127.8770956337103","2127.8770956337103","2127.8770956337103"
"90","2114.3382749654447","2114.3382749654447","2114.3382749654447"
"91","2049.7935885809716","2049.7935885809716","2049.7935885809716"
"92","2020.705690998722","2020.705690998722","2020.705690998722"
"93","2018.806322485062","2018.806322485062","2018.806322485062"
"94","1994.291622944194","1994.291622944194","1994.291622944194"
"95","1999.2987262239965","1999.2987262239965","1999.2987262239965"
"96","1929.6003168413824","1929.6003168413824","1929.6003168413824"
"97","1914.9511366835463","1914.9511366835463","1914.9511366835463"
"98","1910.420816034469","1910.420816034469","1910.420816034469"
"99","1903.7500661631404","1903.7500661631404","1903.7500661631404"
"100","1869.981142376338","1869.981142376338","1869.981142376338"
"101","1871.33728791895","1871.33728791895","1871.33728791895"
"102","1838.388877589381","1838.388877589381","1838.388877589381"
"103","1836.46712566452","1836.46712566452","1836.46712566452"
"104","1825.409646114988","1825.409646114988","1825.409646114988"
"105","1827.7585602631875","1827.7585602631875","1827.7585602631875"
"106","1851.0554251877477","1851.0554251877477","1851.0554251877477"
"107","1805.1936506580355","1805.1936506580355","1805.1936506580355"
"108","1893.4618549356635","1893.4618549356635","1893.4618549356635"
"109","1828.2097951874905","1828.2097951874905","1828.2097951874905"
"110","1863.0690485576224","1863.0690485576224","1863.0690485576224"
"111","1796.780308349772","1796.780308349772","1796.780308349772"
"112","1880.9564346985012","1880.9564346985012","1880.9564346985012"
"113","1804.80664790646","1804.80664790646","1804.80664790646"
"114","1834.3237381033905","1834.3237381033905","1834.3237381033905"
"115","1799.4637784803103","1799.4637784803103","1799.4637784803103"
"116","1840.368392792072","1840.368392792072","1840.368392792072"
"117","1819.208219073206","1819.208219073206","1819.208219073206"
"118","1784.8070747336528","1784.8070747336528","1784.8070747336528"
"119","1798.911723358997","1798.911723358997","1798.911723358997"
"120","1842.9203002094607","1842.9203002094607","1842.9203002094607"
"121","1980.620675695662","1980.620675695662","1980.620675695662"
"122","1843.1126911562928","1843.1126911562928","1843.1126911562928"
"123","1825.915474114051","1825.915474114051","1825.915474114051"
"124","1898.2946517579387","1898.2946517579387","1898.2946517579387"
"125","1864.1357869095575","1864.1357869095575","1864.1357869095575"
"126","1812.091747159287","1812.091747159287","1812.091747159287"
"127","1806.7193559495508","1806.7193559495508","1806.7193559495508"
"128","1828.4577096284593","1828.4577096284593","1828.4577096284593"
"129","1899.756751363635","1899.756751363635","1899.756751363635"
"130","1838.440297465629","1838.440297465629","1838.440297465629"
"131","1773.093748070659","1773.093748070659","1773.093748070659"
"132","1800.0049235627223","1800.0049235627223","1800.0049235627223"
"133","1784.534796424196","1784.534796424196","1784.534796424196"
"134","1976.22253003696","1976.22253003696","1976.22253003696"
"135","1796.0246620915384","1796.0246620915384","1796.0246620915384"
"136","1855.976391689613","1855.976391689613","1855.976391689613"
"137","2010.7816970043157","2010.7816970043157","2010.7816970043157"
"138","1718.0822809607705","1718.0822809607705","1718.0822809607705"
"139","1852.037021023531","1852.037021023531","1852.037021023531"
"140","1787.2282465311052","1787.2282465311052","1787.2282465311052"
"141","1843.8104572711857","1843.8104572711857","1843.8104572711857"
"142","1708.5962520194948","1708.5962520194948","1708.5962520194948"
"143","1875.5427927301769","1875.5427927301769","1875.5427927301769"
"144","1828.6186488190488","1828.6186488190488","1828.6186488190488"
"145","1724.70401740146","1724.70401740146","1724.70401740146"
"146","1886.9810418071004","1886.9810418071004","1886.9810418071004"
"147","1786.913599057462","1786.913599057462","1786.913599057462"
"148","1729.7348978294654","1729.7348978294654","1729.7348978294654"
"149","1865.6822686061444","1865.6822686061444","1865.6822686061444"
"150","1787.4616764586149","1787.4616764586149","1787.4616764586149"
"151","1659.114994614294","1659.114994614294","1659.114994614294"
"152","1763.8559973175772","1763.8559973175772","1763.8559973175772"
"153","1735.83141141291","1735.83141141291","1735.83141141291"
"154","1757.1307504096628","1757.1307504096628","1757.1307504096628"
"155","1810.105694888999","1810.105694888999","1810.105694888999"
"156","1648.8462178539328","1648.8462178539328","1648.8462178539328"
